年份,國父紀念館,國立中正紀念堂,國立故宮博物院,市立動物園,淡水漁人碼頭,士林官邸公園,台北101景觀台
97年,1092450,2740206,2244284,3285012,2575050,1624410,1091069
98年,1851252,4691293,2574804,3673524,2403126,1584245,1356833
99年,3339139,4826586,3441238,2808110,2414995,1585250,1819542
100年,5693749,5913781,3822938,2710720,3013272,1540470,1914730
101年,14969535,6542646,4360815,2967234,3359158,1622620,2259659
102年,7462671,6307737,4412415,3222659,3067505,1633235,2256705
103年,6880087,6627161,5402325,4222025,3444458,1815657,2840835
104年,6037188,7092504,5287867,3302648,2877807,1692010,2839694
105年,6246672,6953671,4665725,3236064,3012568,1906240,2582857
106年,5253356,4493653,4410923,3047954,2497891,2481264,2252457
107年,4508896,4419082,3860644,3252458,3128588,2804484,2126050
